raceId,driverId,position,odds
119,43,9,20-9
119,14,10,20-10
119,17,11,20-11
119,21,12,20-12
119,35,13,20-13
119,49,14,20-14
119,2,15,20-15
119,51,16,20-16
119,18,17,20-17
119,52,18,20-18
119,50,19,20-19
119,53,20,20-20
120,4,1,20-1
120,23,2,20-2
120,17,3,20-3
120,31,4,20-4
120,22,5,20-5
120,15,6,20-6
120,8,7,20-7
120,30,8,20-8
120,14,9,20-9
120,44,10,20-10
120,2,11,20-11
120,51,12,20-12
120,21,13,20-13
120,18,14,20-14
120,43,15,20-15
120,35,16,20-16
120,49,17,20-17
120,50,18,20-18
120,47,19,20-19
120,53,20,20-20
121,30,1,20-1
121,31,2,20-2
121,22,3,20-3
121,8,4,20-4
121,48,5,20-5
121,15,6,20-6
121,18,7,20-7
121,14,8,20-8
121,44,9,20-9
121,35,10,20-10
121,17,11,20-11
121,43,12,20-12
121,21,13,20-13
121,49,14,20-14
121,51,15,20-15
121,2,16,20-16
121,50,17,20-17
121,47,18,20-18
121,53,19,20-19
121,4,20,20-20
122,8,1,20-1
122,22,2,20-2
122,44,3,20-3
122,31,4,20-4
122,23,5,20-5
122,4,6,20-6
122,30,7,20-7
122,14,8,20-8
122,43,9,20-9
122,15,10,20-10
122,18,11,20-11
122,35,12,20-12
122,2,13,20-13
122,17,14,20-14
122,49,15,20-15
122,51,16,20-16
122,21,17,20-17
122,52,18,20-18
122,50,19,20-19
122,53,20,20-20
123,22,1,20-1
123,31,2,20-2
123,43,3,20-3
123,44,4,20-4
123,4,5,20-5
123,17,6,20-6
123,14,7,20-7
123,8,8,20-8
123,18,9,20-9
123,51,10,20-10
123,2,11,20-11
123,49,12,20-12
123,11,13,20-13
123,30,14,20-14
123,52,15,20-15
123,21,16,20-16
123,50,17,20-17
123,53,18,20-18
123,23,19,20-19
123,15,20,20-20
125,30,1,22-1
125,31,2,22-2
125,22,3,22-3
125,23,4,22-4
125,8,5,22-5
125,14,6,22-6
125,2,7,22-7
125,18,8,22-8
125,21,9,22-9
125,63,10,22-10
125,49,11,22-11
125,15,12,22-12
125,35,13,22-13
125,13,14,22-14
125,11,15,22-15
125,59,16,22-16
125,37,17,22-17
125,44,18,22-18
125,66,19,22-19
125,56,20,22-20
125,17,21,22-21
125,62,22,22-22
140,30,1,20-1
140,22,2,20-2
140,14,3,20-3
140,8,4,20-4
140,23,5,20-5
140,31,6,20-6
140,11,7,20-7
140,21,8,20-8
140,35,9,20-9
140,18,10,20-10
140,15,11,20-11
140,2,12,20-12
140,63,13,20-13
140,56,14,20-14
140,13,15,20-15
140,44,16,20-16
140,37,17,20-17
140,66,18,20-18
140,17,19,20-19
140,62,20,20-20
156,30,1,22-1
156,23,2,22-2
156,31,3,22-3
156,57,4,22-4
156,22,5,22-5
156,2,6,22-6
156,14,7,22-7
156,15,8,22-8
156,55,9,22-9
156,18,10,22-10
156,8,11,22-11
156,21,12,22-12
156,44,13,22-13
